,Comment
0,Note - Don’t create test PRs or issues on official repositories of projects as it is unprofessional. Try to test all the things in your own repo.<br><br>Ek aur Complete Tutorial ❤  &amp;<br>on this channel (Apna College YouTube) we have also taught tutorials of 👇 :<br><br>- Complete SQL Course<br>- C Language Course<br>- Java DSA Course<br>- C++ DSA Course<br>- Python Tutorial<br>- Java Tutorial<br>- HTML &amp; CSS in One Shot<br>- ReactJS<br>- Object Orientation with Java<br><br>Tabtak ke liye keep learning &amp; keep coding!
1,Thanks buddy
2,Amazing
3,Thank you for such a informative video
4,I watched the whole video and learned a lot😊
5,Good
6,Visual Studio code ki jagha Jupiter notebook use kr sakte hai.
7,thankyou mam
8,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3213"">53:33</a>"
9,🙏
10,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1491"">24:51</a>"
11,thankyou so much for wonderful explanation
12,oooy hello meri didi nahi ho thik hai yese rishta mat banao ha ni to
13,"mara team lead khta hy git ki koi zaroorat nahi tum kaam kro main aik aik line dakh lun ga <a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>"
14,"this is well informerd video, jisne bhi kia woh khudh bewakoof hai as she well informed in advance dont make such changes"
15,ls -a is not working
16,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/hands-yellow-heart-red""></a>"
17,What is the difference between git clone and fork.
18,She always flaunt that she has done internships under Microsoft
19,Thank you for this video.....very helpful!
20,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=960"">16:00</a>"
21,"at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1644"">27:24</a>  :<br>ls -a , this command is not working on my laptop can anybody help??<br>its giving ambiguous error IDK why??<br><br><br><br>error is like this :<br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes <br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand"
22,Fantastic madam
23,Thanks <br>It is a good content gained a lot of knowledge
24,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2975"">49:35</a>"
25,"Super explanation, very well prepared presentation."
26,Thanks From Bangladesh
27,Thanks a million.
28,"kindly give me all the notes in a pdf file, please. it&#39;s necessary. thank you"
29,Why am I getting a message to authorize git instead of vs code
30,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=780"">13:00</a> aapne and man bhiya ne to commit kr deiya"
31,your channel always makes things so easy to understand !! spectacular explanation as always<br>if possible can you please make a playlist on devops ?!!
32,Could someone please assist me in finding where to create the folder named gitdemo?
33,Video was very informative and give the good knowledge of Github. Thanks
34,"Ls -a is not working in my terminal , is there any other alternative"
35,Excellent<br><br><br>nai repositarries<br><br><br>Keep it up
36,can you create video on angular and spring boot
37,Still rolling...😎😎
38,Great explanation of Git &amp; github
39,Thank u🍫📚
40,"shradda didi <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/hcIfY57lBJXp6AKBx4CoCA""></a>"
41,didi mehndi badi sundar lagi hai
42,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a> Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a> Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a> Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a> Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a> Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a> Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a> Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a> Fork"
43,ls -a    command isn&#39;t working on my system. can somebody help
44,awesome video
45,I was very helpful and I really enjoyed it.
46,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1534"">25:34</a>"
